LibraryName	DBS-ID	RS	OCLCRegistry	OCLC	LibraryID
Bibliothek Neustadt					61344
Bibliothek Niedere Börde	WK392	150830390390			204704
Bibliothek Niederorschel	YN288	160615004074			204541
Bibliothek Nienburg	UF940	150890235235			202724
Bibliothek Ostseebad Wustrow	WF489	130735354103			203286
Bibliothek Paunsdorf					61051
Bibliothek Pieschen					61345
Bibliothek Plagwitz Georg Maurer					61052
Bibliothek Plauen Walter Hofmann					61346
Bibliothek Prohlis					61347
Bibliothek Reick					61348
Bibliothek Remshalden	GM249	81190090090			207895
Bibliothek Reudnitz					61053
Bibliothek Rhinow	RH147	120635309260			203091
Bibliothek Riederich	HE340	84155002062			207779
Bibliothek Rochlitz Alte Lateinschule	WB745	145225126490			202918
Bibliothek Röppisch	UX374	160750135135			202840
Bibliothek Saalburg	WF350	160750135135			202842
Bibliothek Schkopau	MB397	150880330330			202698
Bibliothek Schwieberdingen	KR314	81185006067			207647
Bibliothek Schönbrunn	UX416	160750135135			202841
Bibliothek Schönefeld					61054
Bibliothek Schönwalde Glien Buch & Co e.V.	WH146	120630273273			203074
Bibliothek Schönwalde-Glien OT Pausin	PA146	120630273273			203075
Bibliothek Schönwalde-Glien OT Perwenitz	WF015	120630273273			203076
Bibliothek Seiffen	WF374	145215132570			202970
Bibliothek Selmsdorf KUK e.V.	MK074	130745459076			203446
Bibliothek Seminar Weingarten					58103
Bibliothek Sprendlingen-Gensingen	HR923	73395008056			206346
Bibliothek Staatsarchiv Altenburg					198884
Bibliothek Staatsarchiv Gotha					198583
Bibliothek Staatsarchiv Greiz					198885
Bibliothek Staatsarchiv Meiningen					198584
Bibliothek Staatsarchiv Rudolstadt					198586
Bibliothek Stadt Monheim am Rhein	GE863	51580026026			204792
Bibliothek Stadtmuseum Camburg					198886
Bibliothek Stiftung Ettersberg					198587
Bibliothek Strehlen					61349
Bibliothek Stuhr	KT293	32510037037			203783
Bibliothek Südeichsfeld OT Heyerode	WL499	160645052074			210574
Bibliothek Südliches Anhalt	WK811	150820377377			202714
Bibliothek Südvorstadt Anne Frank					61350
Bibliothek Südvorstadt Walter Hofmann					61055
Bibliothek Thale	WD274	150850330330			202737
Bibliothek u. Tourist - Information Weferlingen	WK331	150835053535			204717
Bibliothek Uhlstädt-Kirchhasel	WM066	160730109109			202811
Bibliothek Verl	UA048	57540044044			204123
Bibliothek Volkmarsdorf					61056
Bibliothek Waldmühle	HR236	33580021021			203830
Bibliothek Wasserburg/Inn	JN009	91870182182			208697
Bibliothek Weinböhla					61417
Bibliothek Weixdorf					61352
Bibliothek Weißenborn-Lüderode	WL475	160610116116			204537
Bibliothek Weißig					61351
Bibliothek Wiederitzsch					61057
Bibliothek Wilnsdorf	GJ716	59700044044			206503
Bibliothek Witten	AJ367	59540036036			206614
Bibliothek Wusterhausen	WH103	120680477477			203219
