?item	?itemLabel	?isil	?gndId	?dbsId
http://www.wikidata.org/entity/Q28681679	Stadtbibliothek Bischofswerda		WB277
http://www.wikidata.org/entity/Q28681697	Stadtbibliothek Finsterwalde		WA674
http://www.wikidata.org/entity/Q28681769	Stadtbibliothek Hohenmölsen		WA844
http://www.wikidata.org/entity/Q28681818	Stadtbibliothek Duderstadt		LD236
http://www.wikidata.org/entity/Q28681845	Stadtbibliothek Oebisfelde		MB336
http://www.wikidata.org/entity/Q28681870	Stadtbibliothek Plochingen		KR119
http://www.wikidata.org/entity/Q28681908	Stadtbibliothek Zehdenick		WC270
http://www.wikidata.org/entity/Q28681940	Stadtbibliothek Sonneberg		WB253
http://www.wikidata.org/entity/Q28681959	Stadtbibliothek Pritzwalk		SP641
http://www.wikidata.org/entity/Q28682017	Stadtbibliothek Pasewalk		WA455
http://www.wikidata.org/entity/Q28682585	Stadtbibliothek Bernburg		WA807
http://www.wikidata.org/entity/Q28682749	Stadtbibliothek Geithain		WB502
http://www.wikidata.org/entity/Q28685196	Stadtbibliothek Zossen		AA502
http://www.wikidata.org/entity/Q28686874	Stadtbibliothek Diez		AB166
http://www.wikidata.org/entity/Q28720303	Stadtarchiv Hagen		BL904
http://www.wikidata.org/entity/Q28731254	Bibliothek der Medizinischen Hochschule Hannover		2033173-3	AF354
http://www.wikidata.org/entity/Q28733440	Mediothek Krefeld		AD072
http://www.wikidata.org/entity/Q28733442	Bibliothek der Kapuziner		BK341
http://www.wikidata.org/entity/Q28733448	Universitätsbibliothek Trier		AB385
http://www.wikidata.org/entity/Q28733468	Fürstlich Hohenzollernsche Sammlungen und Hofbibliothek		AH156
http://www.wikidata.org/entity/Q28733479	Lernzentrum Cottbus / Stadt- und Regionalbibliothek Cottbus		AH181
http://www.wikidata.org/entity/Q28733487	Zweigstellenbibliothek des Kammergerichts in der Senatsverwaltung für Justiz und Verbraucherschutz		CM203
http://www.wikidata.org/entity/Q28733491	Historische Bibliothek der Stadt Rastatt im Ludwig-Wilhelm-Gymnasium		2121069-X	AY273
http://www.wikidata.org/entity/Q28733497	Dorte-Hilleke-Bücherei		AF421
http://www.wikidata.org/entity/Q28733510	Bücherei am Stadtpark		AA241
http://www.wikidata.org/entity/Q28733634	Bibliothek des Niedersächsischen Justizministeriums		CU477
http://www.wikidata.org/entity/Q28733661	Bibliothek des ehemaligen Birgittenklosters Kaldenkirchen		BR628
http://www.wikidata.org/entity/Q28733701	Bibliothek des Bundesgerichtshofs		BJ208
http://www.wikidata.org/entity/Q28733708	Bibliothek des Wissenschaftszentrums Berlin für Sozialforschung		CQ290
http://www.wikidata.org/entity/Q28734962	Landeskirchliches Archiv der Evangelischen Kirche von Westfalen		BL102
http://www.wikidata.org/entity/Q28737643	Bibliothek des Herold - Verein für Heraldik, Genealogie und verwandte Wissenschaften		CM963
http://www.wikidata.org/entity/Q28737646	Deutsches Archäologisches Institut, Bibliothek der Zentrale Berlin		CN098
http://www.wikidata.org/entity/Q28737649	Deutsches Zentralinstitut für Soziale Fragen (DZI), Bibliothek		CM859
http://www.wikidata.org/entity/Q28737663	Helmholtz-Zentrum für Ozeanforschung Kiel (GEOMAR), Bibliothek Westufer		CJ032
http://www.wikidata.org/entity/Q28737688	Landeskirchliche Bibliothek, Bibliothek für Religionspädagogik		BL473
http://www.wikidata.org/entity/Q28737710	LWL-Museum für Naturkunde, Westfälisches Landesmuseum mit Planetarium, Bibliothek		CU647
http://www.wikidata.org/entity/Q28737721	Julius-Kühn-Institut, Informationszentrum und Bibliothek Münster		CQ162
http://www.wikidata.org/entity/Q28737780	Universität Mainz, Bereichsbibliothek Translations-, Sprach- und Kulturwissenschaft		BA271
http://www.wikidata.org/entity/Q28737782	Hochschule für Technik und Wirtschaft des Saarlandes, Bibliothek / Bereich Goebenstraße		BH368
http://www.wikidata.org/entity/Q28737816	Albertus-Magnus-Gymnasium, Alte Gymnasialbibliothek		BR884
http://www.wikidata.org/entity/Q28737821	Berufsgenossenschaftliche Unfallklinik, Bibliothek		CS778
http://www.wikidata.org/entity/Q28737830	Hochschulbibliothek Offenburg		BH976
http://www.wikidata.org/entity/Q28737844	Arnold-Bergstraesser-Institut für kulturwissenschaftliche Forschung, Bibliothek		CA264
http://www.wikidata.org/entity/Q28737883	ZSW Zentrum für Sonnenenergie- und Wasserstoff-Forschung Baden-Württemberg, Geschäftsbereich 3, Bibliothek		AX402
http://www.wikidata.org/entity/Q28738121	Forschungsbibliothek Gotha		2010429-7	AE039
http://www.wikidata.org/entity/Q28738265	Deutscher Staatsbürgerinnen-Verband, Bibliothek		CM306
http://www.wikidata.org/entity/Q28738267	Sozialgericht Berlin, Bibliothek		CL946
http://www.wikidata.org/entity/Q28738286	Hochschule Esslingen, Standort Göppingen, Bibliothek		AW458
http://www.wikidata.org/entity/Q28738300	Archäologisches Landesmuseum, Außenstelle Konstanz, Bibliothek		CC017
http://www.wikidata.org/entity/Q28738317	Bibliothek der Hochschule Darmstadt, Zentralbibliothek		BS517
http://www.wikidata.org/entity/Q28738325	Philosophisch-Theologische Hochschule Sankt Georgen, Bibliothek		BK134
http://www.wikidata.org/entity/Q28738379	Stiftung Historische Museen Hamburg, Museum für Hamburgische Geschichte, Bibliothek		BS955
http://www.wikidata.org/entity/Q28738414	Duale Hochschule Baden-Württemberg Mosbach, Bibliothek		AR271
http://www.wikidata.org/entity/Q28738475	LVR-LandesMuseum Bonn, Bibliothek		CT539
http://www.wikidata.org/entity/Q28738479	Bundesministerium der Verteidigung, Bibliothek		CU003
http://www.wikidata.org/entity/Q28738510	Dokumentationsstelle und Bibliothek der GDMB Gesellschaft für Bergbau, Metallurgie, Rohstoff- und Umwelttechnik		CW688
http://www.wikidata.org/entity/Q28738514	Bibliothek der Technischen Sammlungen		CR233
http://www.wikidata.org/entity/Q28738532	Finanzministerium des Landes Nordrhein-Westfalen, Bibliothek		CW779
http://www.wikidata.org/entity/Q28738534	Bibliothek des Ministeriums für Innovation, Wissenschaft und Forschung NRW und des Ministeriums für Schule und Weiterbildung NRW		CW962
http://www.wikidata.org/entity/Q28738582	Bibliothek des Vereins für Hamburgische Geschichte		BS918
http://www.wikidata.org/entity/Q28738590	Asklepios Westklinikum Hamburg, Ärztliche Bibliothek		BT017
http://www.wikidata.org/entity/Q28738633	Niedersächsisches Landesmuseum Hannover, Urgeschichts-Abteilung, Bibliothek		BT418
http://www.wikidata.org/entity/Q28738637	Historisches Museum am Hohen Ufer, Bibliothek		BT467
http://www.wikidata.org/entity/Q28738646	Staatliche Akademie der Bildenden Künste Karlsruhe, Bibliothek		BE112
http://www.wikidata.org/entity/Q28738657	Römisch-Germanisches Museum, Bibliothek und Fotothek		BE458
http://www.wikidata.org/entity/Q28738682	Gymnasium der Stadt Lennestadt, Bibliothek		BY217
http://www.wikidata.org/entity/Q28738720	St. Michael-Gymnasium, Schüler-Lehrer-Bibliotheken		BR070
http://www.wikidata.org/entity/Q28738722	Industrie- und Handelskammer Nord Westfalen, Bibliothek		CU209
http://www.wikidata.org/entity/Q28738725	Westfälischer Heimatbund e.V., Bibliothek		BR367
http://www.wikidata.org/entity/Q28738747	Erzabtei St. Ottilien, Bibliothek		BA180
http://www.wikidata.org/entity/Q28738766	Landessozialgericht, Bibliothek		BF980
http://www.wikidata.org/entity/Q28738774	Haus der Heimat des Landes Baden-Württemberg, Bibliothek		BB044
http://www.wikidata.org/entity/Q28738817	Landtag des Saarlandes, Bibliothek		CT047
http://www.wikidata.org/entity/Q28738826	Westfälische Hochschule Gelsenkirchen Bocholt Recklinghausen, Hochschulbibliothek		1068115289	BY710
http://www.wikidata.org/entity/Q28738881	Bundesinstitut für Berufsbildung, Bibliothek		CQ733
http://www.wikidata.org/entity/Q28738983	Deutsches Theatermuseum, früher Clara-Ziegler-Stiftung, Theaterbibliothek		CW330
http://www.wikidata.org/entity/Q28739246	Katholische Stiftungsfachhochschule München, Bibliothek / Religionspädagogischer Bestand		AC936
http://www.wikidata.org/entity/Q28739505	Gerichte für Arbeitssachen, Bibliothek		CQ824
http://www.wikidata.org/entity/Q28739513	Robert Schumann Hochschule, Bibliothek		BD600
http://www.wikidata.org/entity/Q28739794	Mannheimer Zentrum für Europäische Sozialforschung, Bibliothek		AR635
http://www.wikidata.org/entity/Q28720028	Stadtarchiv Ettlingen		DZ701
